0,Company Name
17.518998999999997,Abbott Laboratories
23.188,AbbVie Inc
2.1559998,Abercrombie & Fitch Co
11.322000000000001,Acadia Healthcare Co Inc
24.568,Activision Blizzard Inc
27.997,Adobe Inc
14.507,Advanced Micro Devices
-15.925999,Aemetis Inc
20.365,Aflac Inc
-165.463,Air Canada
19.076,Air Products & Chemicals Inc
4.671,Alibaba Group Holding Ltd
0,Alimentation Couche-Tard Inc
1.9900000000000002,Allstate Corp
23.746000000000002,Alphabet Inc
0,Aluminum Corporation of China Ltd
2.2550002,Amazon.com Inc
0,Ambev SA
-21.034001,AMC Entertainment Holdings
-3.557,American Airlines Group Inc
3.8120000000000003,American Eagle Outfitters Inc
13.081001,American Electric Power Co Inc
15.437999999999999,American Express Co
33.987,American Water Works Co Inc
24.924,Amgen Inc
8.813,AMN Healthcare Services Inc
0,Anhui Conch Cement Co Ltd
25.31,Apple Inc
1.0980001,Aptiv PLC
6.1100002,ArcBest Corp
29.552,Arista Networks Inc
24.105999999999998,Artisan Partners Asset Management Inc
6.6339999999999995,ASGN Inc
38.894,Ashland Global Holdings Inc
0,Asian Paints Ltd
0,Astra Microwave Products Ltd
-2.8450001,AstraZeneca PLC
12.9,AT&T Inc
0,Atacadao SA
0,Atul Ltd
0,Aurobindo Pharma Ltd
0,Aurora Cannabis Inc
14.949000000000002,Autozone Inc
0,Aviva PLC
0,Axis Bank Ltd
0,B3 SA - Brasil Bolsa Balcao
-9.825000000000001,Baidu Inc
0,Bajaj Auto Ltd
0,Bajaj Finserv Ltd
0,Banco BTG Pactual S.A.
0,Banco do Brasil SA BB Brasil
0,Banco Santander (Brasil) SA
0,Bank Bradesco SA
30.686999999999998,Bank of America Corp
0,Bank Of Ningbo Co Ltd
33.728,Bank of Nova Scotia
48.680001,Bank OZK
24.601999,Barclays PLC
-4.496,Barnes & Noble Education Inc
0,Bata India Ltd
7.123,Baxter International Inc
0,BB Seguridade Participacoes SA
13.042000000000002,BCE Inc
4.522,Beacon Roofing Supply Inc
-11.744000999999999,Bed Bath & Beyond Inc
-12.475999999999999,Benefitfocus Inc
0,Berger Paints India Ltd
4.3330003,Best Buy Co Inc
0,Bharat Heavy Electricals Ltd
0,Bharti Airtel Ltd
24.855,BHP Group PLC
-54.476,Bill.com Holdings Inc
30.117,Blackrock Inc
23.247999,Blackstone Inc
-8.6890005,Boeing Co
0,Bombardier Inc
5.33,BorgWarner Inc
0,Bosch Ltd
16.033001,Boyd Group Services Inc
-10.2110006,BP PLC
0,BR Malls Participacoes SA
0,BRF SA
14.036000000000001,Bristol-Myers Squibb Co
29.763,Broadcom Inc
4.705,Brookfield Asset Management
0,BT Group PLC
11.291,Build-A-Bear Workshop Inc
0,Bunzl PLC
2.8080001,Burlington Stores Inc
-14.148,Caesars Entertainment Inc
3.5610000000000004,Cameco Corp
11.233,Campbell Soup Co
8.613,Canada Goose Holdings Inc
33.275002,Canadian National Railway Co
27.51,Canadian Natural Resources Ltd
29.407,Canadian Pacific Railway Ltd
0,Canadian Utilities Ltd
0,Canadian Western Bank
19.127001,Carclo PLC
-13.292000000000002,Cardiovascular Systems Inc
0,Cargojet Inc
2.774,CarMax Inc
-156.77,Carnival PLC
2.6229999999999998,Casey's General Stores Inc
29.314,Catalyst Pharmaceuticals Inc
12.3330005,Caterpillar Inc
0,CCR SA
1.428,Centene Corp
0,Centrais Eletricas Brasileiras SA
2.648,Cheesecake Factory Inc
14.094000000000001,Chevron Corp
1.544,China Automotive Systems Inc
0,China Construction Bank Corp
-24.351999,China Eastern Airlines Corp Ltd
-34.61,China Finance Online Co Ltd
0,China Gas Holdings Ltd
0,China Mobile Ltd
-257.016,China Natural Resources Inc
2.582,China Petroleum & Chemical Corp
-12.363,China Southern Airlines Co Ltd
0,China State Construction International Holdings Ltd
0,China Tourism Group Duty Free Corp Ltd
0,China Vanke Co Ltd
0,China World Trade Center Co Ltd
0,China Yangtze Power Co Ltd
1.282,China Yuchai International Ltd
9.2810005,Chipotle Mexican Grill Inc
0,Cielo SA
0,Cipla Ltd
23.276,CISCO Systems Inc
0,CITIC Ltd
23.114,Citigroup Inc
0,City of London Investment Group PLC
-1.286,Clearwater Paper Corp
0,Coal India Ltd
23.162001,Coca-Cola Co
11.738,Cognizant Technology Solutions Corp
10.983,Colgate-Palmolive Co
